,month,temp,max_temp,ext_max_temp,min_temp,ext_min_temp
0,2005-01,-2.5,1.5,7.3,-6.2,-11.0
1,2005-02,-1.9,2.2,10.5,-5.5,-13.1
2,2005-03,4.1,8.8,17.6,0.2,-6.5
3,2005-04,13.2,18.1,29.8,8.9,4.1
4,2005-05,17.7,22.9,30.2,13.0,6.3
5,2005-06,22.7,27.3,32.0,19.1,15.5
6,2005-07,25.3,28.8,34.2,22.7,18.3
7,2005-08,25.1,28.7,35.0,22.4,16.5
8,2005-09,21.8,25.7,30.8,18.6,13.8
9,2005-10,14.7,19.4,24.9,10.7,3.0
10,2005-11,8.6,12.9,21.8,4.6,-1.1
11,2005-12,-3.9,-0.1,11.1,-7.4,-14.0
12,2006-01,-0.2,3.4,9.3,-3.3,-10.1
13,2006-02,0.1,4.2,11.5,-4.0,-14.1
14,2006-03,5.2,9.9,17.2,0.9,-6.9
15,2006-04,11.6,16.2,22.2,7.7,2.9
16,2006-05,18.4,23.4,28.3,14.0,10.8
17,2006-06,21.8,26.3,32.4,18.1,14.1
18,2006-07,23.1,26.0,30.1,20.9,17.5
19,2006-08,27.0,31.1,34.7,23.9,20.8
20,2006-09,21.1,25.7,30.3,16.9,11.3
21,2006-10,17.9,22.6,27.5,13.9,7.9
22,2006-11,8.4,12.4,20.2,4.5,-1.3
23,2006-12,1.4,5.4,12.6,-2.0,-12.3
24,2007-01,0.4,4.1,11.8,-2.8,-7.6
25,2007-02,4.0,8.7,14.8,0.1,-8.6
26,2007-03,6.1,10.3,16.2,2.3,-7.6
27,2007-04,11.4,16.1,22.5,7.5,1.6
28,2007-05,18.1,23.4,30.1,13.6,9.0
29,2007-06,23.2,27.7,33.2,19.2,14.1
30,2007-07,24.2,27.8,31.2,21.3,17.7
31,2007-08,26.5,29.9,33.2,23.8,19.8
32,2007-09,21.5,25.1,31.1,18.6,14.1
33,2007-10,15.1,19.6,26.2,11.3,3.2
34,2007-11,6.7,11.4,19.3,2.8,-5.5
35,2007-12,1.8,5.4,13.8,-1.4,-7.4
36,2008-01,-1.7,1.9,7.3,-5.0,-11.1
37,2008-02,-1.2,3.2,10.5,-4.9,-10.1
38,2008-03,7.3,11.9,19.8,3.7,-1.7
39,2008-04,14.1,19.5,28.0,9.3,3.8
40,2008-05,17.7,22.7,28.5,13.1,8.1
41,2008-06,21.5,26.1,29.6,17.6,13.7
42,2008-07,25.1,28.4,32.9,22.6,20.2
43,2008-08,25.3,29.5,35.4,21.8,16.3
44,2008-09,22.0,26.9,32.0,18.0,10.3
45,2008-10,16.1,21.0,28.3,12.1,5.6
46,2008-11,7.6,11.7,18.4,3.8,-7.2
47,2008-12,1.1,5.0,13.3,-2.7,-13.1
48,2009-01,-2.0,2.3,12.2,-5.5,-11.4
49,2009-02,2.9,6.8,16.1,-0.6,-8.6
50,2009-03,6.0,10.6,22.2,1.8,-3.3
51,2009-04,12.7,18.0,25.8,8.1,2.2
52,2009-05,19.1,24.3,31.0,14.6,9.8
53,2009-06,22.4,26.7,32.4,18.8,14.3
54,2009-07,24.3,28.2,32.4,21.0,18.7
55,2009-08,25.7,29.5,34.4,22.4,16.4
56,2009-09,21.8,26.3,29.9,17.7,14.4
57,2009-10,16.0,20.9,26.4,11.7,6.2
58,2009-11,6.9,10.4,21.8,3.7,-4.3
59,2009-12,-1.0,2.5,10.1,-4.2,-12.9
60,2010-01,-4.5,-0.7,8.4,-8.1,-15.3
61,2010-02,1.4,4.9,17.9,-1.7,-10.8
62,2010-03,4.3,8.1,14.2,0.5,-4.0
63,2010-04,9.5,14.0,20.7,5.6,1.1
64,2010-05,17.2,22.0,28.6,13.0,5.8
65,2010-06,23.4,28.2,32.7,19.3,12.1
66,2010-07,25.8,29.3,32.3,23.1,21.0
67,2010-08,26.5,30.0,33.8,23.8,19.9
68,2010-09,21.8,26.0,31.4,18.5,8.4
69,2010-10,14.5,19.3,24.2,10.4,0.7
70,2010-11,6.5,11.3,17.4,2.5,-5.2
71,2010-12,-1.3,3.1,13.5,-5.1,-15.1
72,2011-01,-7.2,-3.4,0.3,-10.5,-17.8
73,2011-02,1.2,5.9,13.2,-2.5,-9.2
74,2011-03,3.6,8.3,16.8,-0.1,-5.5
75,2011-04,10.7,15.6,19.0,6.8,4.3
76,2011-05,17.9,23.0,31.2,13.6,8.5
77,2011-06,22.0,26.6,32.9,18.4,14.4
78,2011-07,24.6,28.0,34.1,22.0,18.9
79,2011-08,25.8,29.5,34.1,23.0,18.1
80,2011-09,21.8,26.6,32.4,17.7,10.3
81,2011-10,14.2,19.3,23.4,9.7,3.1
82,2011-11,10.7,14.7,25.9,7.2,-5.5
83,2011-12,-0.9,2.9,9.1,-4.1,-10.6
84,2012-01,-2.8,1.3,8.4,-6.3,-12.2
85,2012-02,-2.0,3.0,12.1,-6.0,-17.1
86,2012-03,5.1,9.5,16.2,1.5,-5.7
87,2012-04,12.3,17.9,29.4,7.8,0.6
88,2012-05,19.7,25.1,29.3,15.4,12.0
89,2012-06,24.1,29.7,33.5,20.0,16.3
90,2012-07,25.4,29.0,33.2,22.4,18.5
91,2012-08,27.1,30.9,36.7,23.9,18.7
92,2012-09,21.0,25.0,29.5,17.4,12.0
93,2012-10,15.3,20.5,26.0,11.0,2.8
94,2012-11,5.5,9.5,15.7,1.8,-3.0
95,2012-12,-4.1,-0.5,8.3,-7.4,-14.5
96,2013-01,-3.4,0.3,11.5,-6.6,-16.4
97,2013-02,-1.2,2.8,13.9,-4.9,-15.8
98,2013-03,5.1,10.8,23.8,0.7,-4.4
99,2013-04,10.0,15.0,21.6,5.7,1.3
100,2013-05,18.2,23.6,31.8,13.7,7.9
101,2013-06,24.4,29.2,32.6,20.5,16.3
102,2013-07,25.5,28.3,31.3,23.4,20.5
103,2013-08,27.7,31.1,33.9,24.8,21.1
104,2013-09,21.8,25.9,31.1,18.0,10.9
105,2013-10,15.8,21.2,28.1,10.9,4.3
106,2013-11,6.2,10.7,20.7,2.1,-6.4
107,2013-12,-0.2,3.5,11.0,-3.5,-9.8
108,2014-01,-0.7,3.5,8.2,-4.9,-10.5
109,2014-02,1.9,6.6,16.4,-1.8,-10.5
110,2014-03,7.9,13.1,23.8,3.5,-4.6
111,2014-04,14.0,19.6,26.2,9.4,2.3
112,2014-05,18.9,25.3,33.3,13.8,6.8
113,2014-06,23.1,27.8,31.1,19.7,17.3
114,2014-07,26.1,30.6,34.4,22.9,19.1
115,2014-08,25.2,29.0,35.8,22.1,18.3
116,2014-09,22.1,27.0,31.3,18.0,14.9
117,2014-10,15.6,21.4,29.0,10.7,2.7
118,2014-11,9.0,13.8,22.9,4.9,-3.1
119,2014-12,-2.9,1.5,7.9,-6.7,-13.2
120,2015-01,-0.9,3.6,9.0,-4.8,-9.8
121,2015-02,1.0,6.0,13.0,-2.9,-13.0
122,2015-03,6.3,12.4,21.9,1.0,-6.9
123,2015-04,13.3,18.8,28.3,8.4,3.5
124,2015-05,18.9,24.9,32.2,13.6,8.3
125,2015-06,23.6,29.5,34.9,18.9,15.6
126,2015-07,25.8,30.0,36.0,22.6,18.2
127,2015-08,26.3,30.8,34.4,22.8,18.9
128,2015-09,22.4,28.1,31.0,17.5,14.2
129,2015-10,15.5,21.2,26.6,10.8,1.1
130,2015-11,8.9,12.7,19.8,5.9,-7.3
131,2015-12,1.6,6.0,12.2,-2.1,-9.5
132,2016-01,-3.2,1.1,9.5,-6.8,-18.0
133,2016-02,0.2,5.1,14.4,-4.1,-10.0
134,2016-03,7.0,12.6,21.4,2.4,-7.5
135,2016-04,14.1,20.3,29.6,9.1,5.1
136,2016-05,19.6,25.7,31.9,14.1,8.9
137,2016-06,23.6,28.7,32.2,19.5,17.1
138,2016-07,26.2,29.8,34.1,23.3,19.8
139,2016-08,28.0,32.6,36.6,24.5,16.1
140,2016-09,23.1,27.9,31.1,19.3,14.3
141,2016-10,16.1,21.3,29.0,11.6,0.7
142,2016-11,6.8,11.6,18.6,2.8,-6.2
143,2016-12,1.2,5.8,13.6,-2.7,-9.8
144,2017-01,-1.8,2.9,11.4,-5.8,-12.6
145,2017-02,-0.2,4.8,12.3,-4.7,-9.3
146,2017-03,6.3,12.3,18.9,1.7,-5.3
147,2017-04,13.9,20.0,27.8,9.1,3.1
148,2017-05,19.5,25.4,30.3,14.4,10.0
149,2017-06,23.3,28.8,34.1,18.7,14.5
150,2017-07,26.9,30.4,35.4,24.3,21.9
151,2017-08,25.9,29.7,35.3,22.9,16.1
152,2017-09,22.1,27.4,31.4,17.5,11.2
153,2017-10,16.4,22.5,29.4,11.6,2.5
154,2017-11,5.6,10.5,18.4,1.3,-6.6
155,2017-12,-1.9,2.2,8.7,-5.7,-12.3
156,2018-01,-4.0,0.1,8.7,-7.3,-17.8
157,2018-02,-1.6,3.3,10.4,-5.9,-13.4
158,2018-03,8.1,13.6,22.1,3.8,-6.7
159,2018-04,13.0,18.5,26.3,8.1,0.1
160,2018-05,18.2,23.3,29.6,13.4,6.9
161,2018-06,23.1,28.4,32.9,18.9,16.3
162,2018-07,27.8,32.1,38.3,24.2,17.7
163,2018-08,28.8,33.3,39.6,25.2,20.2
164,2018-09,21.5,26.0,30.9,17.6,10.8
165,2018-10,13.1,18.6,25.6,8.5,0.7
166,2018-11,7.8,13.2,19.4,3.6,-3.1
167,2018-12,-0.6,4.1,13.5,-4.7,-14.4
168,2019-01,-0.9,4.1,8.5,-5.1,-10.1
169,2019-02,1.0,6.0,14.5,-3.2,-10.2
170,2019-03,7.1,12.4,17.6,2.7,-1.7
171,2019-04,12.1,17.6,28.2,7.2,0.3
172,2019-05,19.4,25.6,33.4,13.7,8.4
173,2019-06,22.5,27.7,32.8,18.1,14.1
174,2019-07,25.9,30.1,36.1,22.7,19.3
175,2019-08,27.2,31.6,36.8,23.6,18.5
176,2019-09,22.6,27.1,30.5,19.0,13.6
177,2019-10,16.4,21.8,28.2,11.8,4.7
178,2019-11,7.6,12.9,22.1,3.1,-4.6
179,2019-12,1.4,5.3,12.9,-2.6,-10.9
180,2020-01,1.6,5.9,11.9,-1.7,-6.5
181,2020-02,2.5,7.2,15.6,-1.3,-11.8
182,2020-03,7.7,13.3,20.6,2.6,-2.8
183,2020-04,11.1,16.6,23.8,6.3,1.9
184,2020-05,18.0,23.3,30.0,13.7,9.2
185,2020-06,23.9,29.0,35.4,19.9,14.8
186,2020-07,24.1,28.0,32.9,21.1,17.2
187,2020-08,26.5,29.3,34.5,24.4,21.5
188,2020-09,21.4,25.6,29.5,18.0,13.6
189,2020-10,14.3,19.5,23.6,9.6,3.2
190,2020-11,8.0,12.6,20.0,4.0,-3.6
191,2020-12,-0.3,3.9,11.4,-4.2,-12.9
192,2021-01,-2.4,2.2,13.9,-6.8,-18.6
193,2021-02,2.7,7.9,17.4,-2.2,-10.6
194,2021-03,9.0,14.8,22.9,4.3,-1.2
195,2021-04,14.2,19.5,28.2,9.5,3.1
196,2021-05,17.1,21.9,30.8,12.8,7.3
197,2021-06,22.8,27.6,31.6,18.9,13.3
198,2021-07,28.1,32.2,36.5,24.6,19.6
199,2021-08,25.9,29.7,33.7,22.8,18.1
200,2021-09,22.6,26.9,30.3,18.8,16.0
201,2021-10,15.6,20.5,28.8,11.6,1.3
202,2021-11,8.2,13.1,21.3,4.0,-3.7
203,2021-12,0.6,5.1,13.3,-3.5,-15.5
204,2022-01,-2.2,2.6,8.4,-6.2,-11.3
205,2022-02,-1.1,3.8,11.5,-5.3,-10.7
206,2022-03,7.7,12.7,19.5,3.2,-3.0
207,2022-04,14.8,20.6,28.7,10.0,3.5
208,2022-05,19.1,25.0,30.7,13.9,7.9
209,2022-06,23.3,27.5,32.7,19.8,14.9
210,2022-07,27.3,31.0,36.1,24.2,20.8
211,2022-08,25.7,28.9,32.9,23.1,16.1
212,2022-09,22.4,27.2,32.5,18.2,12.3
213,2022-10,14.6,19.7,27.6,10.3,4.4
214,2022-11,10.0,15.4,22.1,5.6,-8.1
215,2022-12,-2.8,1.7,10.2,-6.6,-13.7
216,2023-01,-1.5,3.2,12.5,-5.7,-17.3
217,2023-02,2.3,7.3,12.4,-1.9,-5.3
218,2023-03,9.8,16.2,25.1,4.2,-1.9
219,2023-04,13.8,19.0,28.4,8.8,3.1
220,2023-05,19.5,25.0,31.2,14.6,7.9
221,2023-06,23.4,27.9,34.0,19.7,16.6
222,2023-07,26.7,30.2,34.9,23.9,21.6
223,2023-08,27.2,30.8,35.8,24.3,20.8
224,2023-09,23.7,27.6,32.8,20.2,15.2
225,2023-10,15.8,21.0,24.6,11.5,5.4
226,2023-11,6.8,11.5,25.9,2.9,-7.3
227,2023-12,1.1,5.2,16.8,-2.5,-14.7
228,2024-01,-0.5,3.6,10.6,-3.9,-14.0
229,2024-02,3.8,8.2,18.3,0.2,-3.1
230,2024-03,7.0,12.0,23.4,2.4,-8.1
231,2024-04,16.3,22.4,29.4,11.5,5.5
232,2024-05,18.5,23.7,28.5,13.8,6.9
233,2024-06,24.6,30.1,35.8,19.9,15.7
234,2024-07,26.6,29.6,33.3,24.1,21.3
235,2024-08,29.3,33.3,36.4,26.3,22.6
236,2024-09,25.5,29.8,34.6,22.0,15.6
237,2024-10,16.7,21.4,25.7,12.7,7.1
238,2024-11,9.7,14.9,25.1,5.5,-3.4
239,2024-12,0.8,5.3,13.0,-2.9,-7.7
